"category_name","january_sales","march_sales","mom_change","mom_change_percentage","decline_contribution_percentage","acummulative_decline_contribution"
"electronics","369405.74","48209.63","-321196.11","-86.95","99.77","99.77"
"home & kitchen","1317.68","598.80","-718.88","-54.56","0.22","99.99"
"Toys & Games","787.83","765.84","-21.99","-2.79","0.01","100.00"
"Pet Supplies","442.89","542.87","99.98","22.57","0.00","100.00"
"Sports & Outdoors","397.92","482.95","85.03","21.37","0.00","100.00"
